method,tag,file,audio_s,proc_s,rtf
specsub,white_5dB,con_001.wav,3.77,0.10,0.027
specsub,white_5dB,con_002.wav,2.92,0.08,0.027
specsub,white_5dB,con_003.wav,1.90,0.04,0.021
specsub,white_5dB,con_004.wav,1.90,0.07,0.036
specsub,white_5dB,con_005.wav,2.15,0.06,0.027
specsub,white_5dB,con_006.wav,2.15,0.06,0.027
specsub,white_5dB,con_007.wav,1.56,0.06,0.041
specsub,white_5dB,con_008.wav,1.64,0.04,0.022
specsub,white_5dB,con_009.wav,1.39,0.05,0.035
specsub,white_5dB,con_010.wav,2.41,0.08,0.034
specsub,white_5dB,con_011.wav,3.60,0.10,0.027
specsub,white_5dB,pro_001.wav,3.09,0.09,0.029
specsub,white_5dB,pro_002.wav,1.30,0.05,0.041
specsub,white_5dB,pro_003.wav,2.58,0.08,0.029
specsub,white_5dB,pro_004.wav,4.46,0.08,0.017
specsub,white_5dB,pro_005.wav,2.32,0.07,0.030
specsub,white_5dB,pro_006.wav,2.07,0.07,0.034
specsub,white_5dB,pro_007.wav,2.58,0.06,0.023
specsub,white_5dB,pro_008.wav,2.58,0.07,0.028
specsub,white_5dB,pro_009.wav,3.26,0.08,0.026
specsub,white_5dB,pro_010.wav,3.01,0.08,0.026
specsub,white_5dB,pro_011.wav,3.01,0.08,0.027
specsub,white_5dB,pro_012.wav,2.07,0.08,0.036
specsub,white_5dB,pro_013.wav,2.07,0.07,0.036
specsub,white_5dB,pro_014.wav,1.73,0.05,0.030
specsub,white_5dB,pro_015.wav,1.21,0.06,0.047
frcrn,white_5dB,con_001.wav,3.77,1.07,0.283
frcrn,white_5dB,con_002.wav,2.92,0.29,0.099
frcrn,white_5dB,con_003.wav,1.90,0.24,0.128
frcrn,white_5dB,con_004.wav,1.90,0.17,0.091
frcrn,white_5dB,con_005.wav,2.15,0.28,0.129
frcrn,white_5dB,con_006.wav,2.15,0.27,0.125
frcrn,white_5dB,con_007.wav,1.56,0.28,0.180
frcrn,white_5dB,con_008.wav,1.64,0.26,0.156
frcrn,white_5dB,con_009.wav,1.39,0.25,0.178
frcrn,white_5dB,con_010.wav,2.41,0.31,0.129
frcrn,white_5dB,con_011.wav,3.60,0.35,0.097
frcrn,white_5dB,pro_001.wav,3.09,0.31,0.100
frcrn,white_5dB,pro_002.wav,1.30,0.26,0.197
frcrn,white_5dB,pro_003.wav,2.58,0.31,0.119
frcrn,white_5dB,pro_004.wav,4.46,0.35,0.078
frcrn,white_5dB,pro_005.wav,2.32,0.30,0.130
frcrn,white_5dB,pro_006.wav,2.07,0.26,0.126
frcrn,white_5dB,pro_007.wav,2.58,0.28,0.109
frcrn,white_5dB,pro_008.wav,2.58,0.27,0.106
frcrn,white_5dB,pro_009.wav,3.26,0.30,0.091
frcrn,white_5dB,pro_010.wav,3.01,0.32,0.105
frcrn,white_5dB,pro_011.wav,3.01,0.30,0.100
frcrn,white_5dB,pro_012.wav,2.07,0.26,0.128
frcrn,white_5dB,pro_013.wav,2.07,0.23,0.109
frcrn,white_5dB,pro_014.wav,1.73,0.23,0.134
frcrn,white_5dB,pro_015.wav,1.21,0.26,0.211
specsub,clean,con_001.wav,3.77,0.04,0.012
specsub,clean,con_002.wav,2.92,0.04,0.014
specsub,clean,con_003.wav,1.90,0.03,0.016
specsub,clean,con_004.wav,1.90,0.04,0.020
specsub,clean,con_005.wav,2.15,0.04,0.017
specsub,clean,con_006.wav,2.15,0.03,0.016
specsub,clean,con_007.wav,1.56,0.03,0.021
specsub,clean,con_008.wav,1.64,0.03,0.018
specsub,clean,con_009.wav,1.39,0.02,0.017
specsub,clean,con_010.wav,2.41,0.04,0.017
specsub,clean,con_011.wav,3.60,0.05,0.015
specsub,clean,pro_001.wav,3.09,0.05,0.015
specsub,clean,pro_002.wav,1.30,0.03,0.024
specsub,clean,pro_003.wav,2.58,0.04,0.015
specsub,clean,pro_004.wav,4.46,0.05,0.012
specsub,clean,pro_005.wav,2.32,0.04,0.017
specsub,clean,pro_006.wav,2.07,0.04,0.021
specsub,clean,pro_007.wav,2.58,0.04,0.015
specsub,clean,pro_008.wav,2.58,0.03,0.014
specsub,clean,pro_009.wav,3.26,0.04,0.012
specsub,clean,pro_010.wav,3.01,0.04,0.013
specsub,clean,pro_011.wav,3.01,0.05,0.015
specsub,clean,pro_012.wav,2.07,0.04,0.019
specsub,clean,pro_013.wav,2.07,0.03,0.017
specsub,clean,pro_014.wav,1.73,0.03,0.016
specsub,clean,pro_015.wav,1.21,0.03,0.022
specsub,white_15dB,con_001.wav,3.77,0.04,0.011
specsub,white_15dB,con_002.wav,2.92,0.03,0.011
specsub,white_15dB,con_003.wav,1.90,0.03,0.015
specsub,white_15dB,con_004.wav,1.90,0.03,0.017
specsub,white_15dB,con_005.wav,2.15,0.03,0.014
specsub,white_15dB,con_006.wav,2.15,0.03,0.013
specsub,white_15dB,con_007.wav,1.56,0.03,0.019
specsub,white_15dB,con_008.wav,1.64,0.03,0.018
specsub,white_15dB,con_009.wav,1.39,0.03,0.020
specsub,white_15dB,con_010.wav,2.41,0.03,0.014
specsub,white_15dB,con_011.wav,3.60,0.04,0.011
specsub,white_15dB,pro_001.wav,3.09,0.04,0.012
specsub,white_15dB,pro_002.wav,1.30,0.03,0.024
specsub,white_15dB,pro_003.wav,2.58,0.04,0.016
specsub,white_15dB,pro_004.wav,4.46,0.06,0.013
specsub,white_15dB,pro_005.wav,2.32,0.04,0.017
specsub,white_15dB,pro_006.wav,2.07,0.03,0.016
specsub,white_15dB,pro_007.wav,2.58,0.04,0.014
specsub,white_15dB,pro_008.wav,2.58,0.03,0.013
specsub,white_15dB,pro_009.wav,3.26,0.04,0.011
specsub,white_15dB,pro_010.wav,3.01,0.04,0.013
specsub,white_15dB,pro_011.wav,3.01,0.04,0.013
specsub,white_15dB,pro_012.wav,2.07,0.03,0.015
specsub,white_15dB,pro_013.wav,2.07,0.03,0.015
specsub,white_15dB,pro_014.wav,1.73,0.03,0.020
specsub,white_15dB,pro_015.wav,1.21,0.03,0.021
specsub,white_0dB,con_001.wav,3.77,0.05,0.013
specsub,white_0dB,con_002.wav,2.92,0.04,0.013
specsub,white_0dB,con_003.wav,1.90,0.03,0.016
specsub,white_0dB,con_004.wav,1.90,0.03,0.016
specsub,white_0dB,con_005.wav,2.15,0.03,0.015
specsub,white_0dB,con_006.wav,2.15,0.03,0.015
specsub,white_0dB,con_007.wav,1.56,0.03,0.018
specsub,white_0dB,con_008.wav,1.64,0.03,0.018
specsub,white_0dB,con_009.wav,1.39,0.03,0.021
specsub,white_0dB,con_010.wav,2.41,0.03,0.014
specsub,white_0dB,con_011.wav,3.60,0.04,0.011
specsub,white_0dB,pro_001.wav,3.09,0.04,0.013
specsub,white_0dB,pro_002.wav,1.30,0.03,0.020
specsub,white_0dB,pro_003.wav,2.58,0.04,0.014
specsub,white_0dB,pro_004.wav,4.46,0.05,0.012
specsub,white_0dB,pro_005.wav,2.32,0.04,0.017
