clip,ref_emo,ref_conf,ref_angry,frcrn_emo,frcrn_conf,frcrn_angry,frcrn_flip,specsub_emo,specsub_conf,specsub_angry,specsub_flip
con_001.wav,neutral,0.999,0.0,neutral,1.0,0.0,0,disgusted,0.33,0.257,0
con_002.wav,angry,0.993,0.993,angry,0.98,0.98,0,angry,1.0,1.0,0
con_003.wav,angry,0.71,0.71,angry,0.675,0.675,0,angry,0.451,0.451,0
con_004.wav,neutral,0.814,0.005,neutral,0.818,0.005,0,neutral,0.32,0.011,0
con_005.wav,angry,0.915,0.915,angry,0.93,0.93,0,happy,0.998,0.001,1
con_006.wav,angry,0.992,0.992,angry,0.996,0.996,0,angry,0.592,0.592,0
con_007.wav,angry,0.999,0.999,angry,0.999,0.999,0,angry,1.0,1.0,0
con_008.wav,angry,1.0,1.0,angry,1.0,1.0,0,angry,0.98,0.98,0
con_009.wav,angry,0.497,0.497,surprised,0.356,0.062,1,happy,0.643,0.014,1
con_010.wav,angry,0.856,0.856,angry,0.818,0.818,0,angry,0.814,0.814,0
con_011.wav,angry,1.0,1.0,angry,1.0,1.0,0,angry,0.975,0.975,0
pro_001.wav,neutral,0.875,0.11,neutral,0.851,0.119,0,angry,0.998,0.998,0
pro_002.wav,angry,0.665,0.665,angry,0.588,0.588,0,surprised,0.378,0.354,1
pro_003.wav,happy,0.861,0.075,happy,0.788,0.132,0,angry,0.816,0.816,0
pro_004.wav,neutral,0.997,0.002,neutral,0.988,0.012,0,neutral,0.778,0.197,0
pro_005.wav,neutral,0.494,0.312,neutral,0.493,0.317,0,angry,0.972,0.972,0
pro_006.wav,angry,1.0,1.0,angry,1.0,1.0,0,angry,0.473,0.473,0
pro_007.wav,angry,0.976,0.976,angry,0.974,0.974,0,angry,0.513,0.513,0
pro_008.wav,angry,0.783,0.783,angry,0.737,0.737,0,angry,0.945,0.945,0
pro_009.wav,angry,0.918,0.918,angry,0.888,0.888,0,angry,0.966,0.966,0
pro_010.wav,angry,0.997,0.997,angry,0.994,0.994,0,angry,0.987,0.987,0
pro_011.wav,neutral,1.0,0.0,neutral,1.0,0.0,0,neutral,0.991,0.0,0
pro_012.wav,neutral,0.894,0.087,neutral,0.916,0.067,0,angry,0.995,0.995,0
pro_013.wav,neutral,0.871,0.017,neutral,0.845,0.018,0,<unk>,0.835,0.001,0
pro_014.wav,angry,0.883,0.883,angry,0.947,0.947,0,neutral,0.874,0.023,1
pro_015.wav,angry,1.0,1.0,angry,0.821,0.821,0,angry,0.993,0.993,0
