pair,link,level,track,emo,conf,angry
con_001_pro_001,L3_sep,no,spk1,neutral,0.964,0.001
con_001_pro_001,L3_sep,no,spk2,sad,0.504,0.029
con_002_pro_002,L3_sep,no,spk1,happy,0.897,0.099
con_002_pro_002,L3_sep,no,spk2,other,0.398,0.002
con_003_pro_003,L3_sep,no,spk1,happy,0.451,0.013
con_003_pro_003,L3_sep,no,spk2,angry,0.902,0.902
con_004_pro_004,L3_sep,no,spk1,happy,0.991,0.004
con_004_pro_004,L3_sep,no,spk2,angry,0.756,0.756
con_005_pro_005,L3_sep,no,spk1,angry,1.0,1.0
con_005_pro_005,L3_sep,no,spk2,happy,0.992,0.006
con_006_pro_006,L3_sep,no,spk1,happy,0.953,0.016
con_006_pro_006,L3_sep,no,spk2,angry,0.996,0.996
con_007_pro_007,L3_sep,no,spk1,angry,0.992,0.992
con_007_pro_007,L3_sep,no,spk2,happy,0.447,0.007
con_008_pro_008,L3_sep,no,spk1,happy,0.68,0.3
con_008_pro_008,L3_sep,no,spk2,angry,0.99,0.99
con_009_pro_009,L3_sep,no,spk1,happy,0.436,0.308
con_009_pro_009,L3_sep,no,spk2,angry,0.528,0.528
con_010_pro_010,L3_sep,no,spk1,happy,0.589,0.257
con_010_pro_010,L3_sep,no,spk2,happy,0.998,0.0
con_011_pro_011,L3_sep,no,spk1,happy,1.0,0.0
con_011_pro_011,L3_sep,no,spk2,angry,0.921,0.921
con_001_pro_001,L3_sep,light,spk1,neutral,0.98,0.0
con_001_pro_001,L3_sep,light,spk2,neutral,0.992,0.001
con_002_pro_002,L3_sep,light,spk1,happy,0.987,0.001
con_002_pro_002,L3_sep,light,spk2,angry,0.987,0.987
con_003_pro_003,L3_sep,light,spk1,happy,0.659,0.002
con_003_pro_003,L3_sep,light,spk2,angry,0.974,0.974
con_004_pro_004,L3_sep,light,spk1,neutral,0.882,0.053
con_004_pro_004,L3_sep,light,spk2,happy,0.337,0.287
con_005_pro_005,L3_sep,light,spk1,angry,0.998,0.998
con_005_pro_005,L3_sep,light,spk2,angry,0.729,0.729
con_006_pro_006,L3_sep,light,spk1,angry,0.977,0.977
con_006_pro_006,L3_sep,light,spk2,angry,0.803,0.803
con_007_pro_007,L3_sep,light,spk1,angry,0.991,0.991
con_007_pro_007,L3_sep,light,spk2,happy,0.993,0.0
con_008_pro_008,L3_sep,light,spk1,happy,0.975,0.022
con_008_pro_008,L3_sep,light,spk2,angry,0.999,0.999
con_009_pro_009,L3_sep,light,spk1,angry,0.819,0.819
con_009_pro_009,L3_sep,light,spk2,angry,0.611,0.611
con_010_pro_010,L3_sep,light,spk1,happy,0.964,0.009
con_010_pro_010,L3_sep,light,spk2,happy,0.789,0.014
con_011_pro_011,L3_sep,light,spk1,angry,0.999,0.999
con_011_pro_011,L3_sep,light,spk2,happy,0.957,0.014
con_001_pro_001,L3_sep,heavy,spk1,happy,0.492,0.14
con_001_pro_001,L3_sep,heavy,spk2,neutral,0.986,0.001
con_002_pro_002,L3_sep,heavy,spk1,happy,0.509,0.365
con_002_pro_002,L3_sep,heavy,spk2,<unk>,0.533,0.091
con_003_pro_003,L3_sep,heavy,spk1,happy,0.374,0.162
con_003_pro_003,L3_sep,heavy,spk2,happy,0.989,0.001
con_004_pro_004,L3_sep,heavy,spk1,neutral,0.707,0.012
con_004_pro_004,L3_sep,heavy,spk2,angry,0.906,0.906
con_005_pro_005,L3_sep,heavy,spk1,happy,1.0,0.0
con_005_pro_005,L3_sep,heavy,spk2,neutral,0.533,0.309
con_006_pro_006,L3_sep,heavy,spk1,<unk>,0.896,0.007
con_006_pro_006,L3_sep,heavy,spk2,<unk>,0.658,0.086
con_007_pro_007,L3_sep,heavy,spk1,angry,0.951,0.951
con_007_pro_007,L3_sep,heavy,spk2,happy,0.924,0.001
