engine,link,cond,level,n_samples,content_cer,spk_cer,asr_rtf
funasr,L1,babble_0dB,heavy,5,0.7095,,0.110
funasr,L1,babble_0dB,light,5,0.4822,,0.088
funasr,L1,clean,heavy,5,0.4904,,0.092
funasr,L1,clean,light,5,0.2175,,0.088
funasr,L1,white_0dB,heavy,5,0.8870,,0.070
funasr,L1,white_0dB,light,5,0.7694,,0.074
funasr,L3,babble_0dB,heavy,5,0.9663,0.9662,0.039
funasr,L3,babble_0dB,light,5,0.9810,0.9768,0.029
funasr,L3,clean,heavy,5,0.6248,0.6518,0.033
funasr,L3,clean,light,5,0.9484,0.9817,0.031
funasr,L3,white_0dB,heavy,5,0.5691,0.6273,0.032
funasr,L3,white_0dB,light,5,0.4468,0.9232,0.030
funasr,L4,babble_0dB,heavy,5,0.7392,0.8154,0.046
funasr,L4,babble_0dB,light,5,0.5138,0.9096,0.030
funasr,L4,clean,heavy,5,0.5614,0.5860,0.033
funasr,L4,clean,light,5,0.8759,0.8943,0.030
funasr,L4,white_0dB,heavy,5,0.6764,0.7533,0.031
funasr,L4,white_0dB,light,5,0.4430,0.8594,0.031
funasr,L5,babble_0dB,heavy,5,0.8228,0.8189,0.041
funasr,L5,babble_0dB,light,5,0.9983,0.9979,0.029
funasr,L5,clean,heavy,5,0.5459,0.5659,0.033
funasr,L5,clean,light,5,0.9145,0.9402,0.037
funasr,L5,white_0dB,heavy,5,0.5546,0.6383,0.035
funasr,L5,white_0dB,light,5,0.5996,0.7835,0.032
whisper,L1,babble_0dB,heavy,5,0.8659,,1.102
whisper,L1,babble_0dB,light,5,0.5359,,0.238
whisper,L1,clean,heavy,5,0.5212,,0.292
whisper,L1,clean,light,5,0.1787,,0.305
whisper,L1,white_0dB,heavy,5,0.5948,,0.310
whisper,L1,white_0dB,light,5,0.2994,,0.279
whisper,L3,babble_0dB,heavy,5,0.8911,0.8912,0.092
whisper,L3,babble_0dB,light,5,0.9365,0.9398,0.055
whisper,L3,clean,heavy,5,0.4912,0.5072,0.318
whisper,L3,clean,light,5,0.8288,0.8644,0.292
whisper,L3,white_0dB,heavy,5,0.6572,0.7057,0.456
whisper,L3,white_0dB,light,5,0.4815,0.8380,0.190
whisper,L4,babble_0dB,heavy,5,0.9295,0.9239,0.409
whisper,L4,babble_0dB,light,5,0.6399,0.8436,0.221
whisper,L4,clean,heavy,5,0.5132,0.5289,0.336
whisper,L4,clean,light,5,0.7373,0.8469,0.281
whisper,L4,white_0dB,heavy,5,0.7541,0.7868,0.738
whisper,L4,white_0dB,light,5,0.4716,0.7569,0.102
whisper,L5,babble_0dB,heavy,5,0.8919,0.8947,0.094
whisper,L5,babble_0dB,light,5,0.9056,0.9080,0.063
whisper,L5,clean,heavy,5,0.4771,0.5181,0.443
whisper,L5,clean,light,5,0.8686,0.8988,0.291
whisper,L5,white_0dB,heavy,5,0.6302,0.7663,0.970
whisper,L5,white_0dB,light,5,0.5184,0.8352,0.520
